name,longitude,latitude,postcode,suburb
Star Discount Chemist,151.660125,-32.941094,2285,Cardiff
Medical Centre,147.368701,-35.118667,2650,Wagga Wagga
Greenslopes Medical Centre,153.052835,-27.511701,4120,Greenslopes
Kroma Ceramics,153.031995,-27.402641,4031,Kedron
Ocean Orthodontics,153.128724,-26.719328,4575,Warana
Bob's Chemist Newtown,151.179563,-33.896893,2042,Newtown
QML Pathology,152.959682,-27.397006,4054,Arana Hills
Alderley Chiropractic,153.001114,-27.425719,4051,Alderley
Stay Balanced Physiotherapy,153.001466,-27.426233,4051,Alderley
TerryWhite Chemmart,153.060271,-26.714396,4556,Sippy Downs
Warialda Medical Centre,150.572948,-29.540561,2402,Warialda
Lightning Ridge Community Health Centre,147.981141,-29.430588,2834,Lightning Ridge
Sparkle Dental,115.770422,-31.742516,6027,Joondalup
Blue Mountains Family Practice,150.610024,-33.744439,2774,Blaxland
Dalyellup Family Medical Centre,115.625165,-33.399147,6230,Dalyellup
Chemist Warehouse,144.588509,-37.486753,3437,Gisborne
Anzac Avenue Dental,152.997617,-27.249955,4503,Kallangur
TerryWhite Chemmart,151.186646,-33.79438,2067,Chatswood
Delmont Private Hospital,145.094006,-37.856897,3146,Glen Iris
Chemist Warehouse,153.081535,-26.651501,4558,Maroochydore
Priceline Pharmacy,144.589708,-37.485,3437,Gisborne
Gisborne Medical Centre,144.589762,-37.484706,3437,Gisborne
Vital Health Medical Centre,151.224107,-33.906084,2033,Kensington
Leeming Chemmart Pharmacy,115.857625,-32.078673,6149,Leeming
Willetton Chemmart Pharmacy,115.887546,-32.039056,6155,Willetton
Good Price Pharmacy Warehouse,115.869709,-32.090288,6164,Jandakot
Annandale Eye Care,151.1698,-33.881248,2038,Annandale
Balcombe Road Medical Clinic,145.063096,-37.981487,3194,Mentone
Noble Manor Aged Care,145.173831,-37.967678,3174,Noble Park
Heatherton Rd Dentist,145.16987,-37.964385,3174,Noble Park
Noble Park Dental Surgery,145.174485,-37.967185,3174,Noble Park
Keysborough Dental Surgery,145.175575,-37.992075,3173,Keysborough
Advantage Pharmacy Maclean,153.197177,-29.459693,2463,Maclean
Mason Square Dental,144.920988,-37.765282,3039,Moonee Ponds
Daley Street Dental,153.439929,-28.842282,2477,Alstonville
Revive Pharmacy,153.342465,-29.071919,2472,Woodburn
Maven Dental,153.440621,-28.840942,2477,Alstonville
Bunbury Regional Hospital,115.648646,-33.366163,6230,College Grove
St John of God Hospital,115.648409,-33.367751,6230,College Grove
Wizard Pharmacy,115.645235,-33.359666,6230,Carey Park
Myhealth Health Hub,151.105954,-33.812972,2112,Ryde
Terry White Chemmart,145.076363,-37.993588,3195,Parkdale
Murray Street Medical,138.749432,-34.600013,5118,Gawler
Bridgewater Pharmacy,138.75977,-35.008997,5155,Bridgewater
Advantage Pharmacy,153.499848,-28.553019,2482,Mullumbimby
Soul Pattinson Chemist,153.501437,-28.553234,2482,Mullumbimby
King Island General Practice,143.858946,-39.930031,7256,Currie
Tooth Booth,153.031818,-27.384778,4032,Chermside
Chermside Pharmacy,153.032218,-27.385168,4032,Chermside
Hearwell Now Hearing Clinic,153.030523,-27.385746,4032,Chermside
Bangalow Osteopathy,153.521715,-28.684861,2479,Bangalow
TerryWhite Chemmart,115.748138,-31.796616,6025,Hillarys
Dental - Peter R. Knaus / Sarath Gamage,145.282889,-38.111223,3977,Cranbourne
Hearing Australia,145.282187,-38.112756,3977,Cranbourne
Craigie Medical & Dental Centre,115.765987,-31.784396,6025,Craigie
Amcal,115.765667,-31.769856,6027,Beldon
Chatswood Infinity Medical Imaging,151.186433,-33.796476,2067,Chatswood
Wynyard Dental Clinic (Oral Health Services Tasmania),145.731106,-40.989003,7325,Wynyard
Kingsway Medical Centre,115.822543,-31.819084,6065,Madeley
Daya X-Ray & Ultrasound Centre,115.840106,-31.830008,6064,Marangaroo
St John of God Pathology,115.839952,-31.830137,6064,Marangaroo
Priceline Pharmacy,115.822708,-31.818163,6065,Madeley
Mount View Medical Centre,152.796403,-31.651692,2443,Laurieton
Selby Family Clinic,145.372739,-37.914653,3159,Selby
