name,longitude,latitude
CRUSOE 7-10 SECONDARY COLLEGE,144.233680000072,-36.7886299990546
COBURG SENIOR HIGH SCHOOL,144.975000000094,-37.7394299988642
GREVILLEA PARK PRIMARY SCHOOL,143.820559999662,-37.5274999986899
WILLIAM RUTHVEN SECONDARY COLLEGE,145.002779999792,-37.6966499986722
MERRILANDS COLLEGE (P-12),145.002779999792,-37.6966499986722
SEYMOUR EAST PRIMARY SCHOOL,145.155139999488,-37.0292899987109
NEWBOROUGH SECONDARY COLLEGE,146.283200000369,-38.1787399994886
MITCHAM HIGH SCHOOL,145.191529999863,-37.8076299994544
MITCHAM TECHNICAL SCHOOL,145.182370000103,-37.8145699988504
WILLIAM ANGLISS COLLEGE,144.952920000369,-37.813739998999
Oberon High School,144.365360000247,-38.2308099988547
EXHIBITION HIGH SCHOOL,144.974870000107,-37.7995699988128
KANIVA CONSOLIDATED SCHOOL,141.24430999993,-36.3806799990668
BALLARAT HIGH SCHOOL,143.818219999595,-37.5545099987373
HAMILTON COLLEGE,142.023760000377,-37.7367899992593
HAMILTON HIGH SCHOOL,142.014869999494,-37.7320699990274
WYCHEPROOF HIGH SCHOOL,143.229030000539,-36.0798499992563
HALLAM HIGH SCHOOL,145.260980000493,-38.000679999449
HAMILTON TECHNICAL SCHOOL,142.012649999675,-37.7337399987824
RUTHERGLEN HIGH SCHOOL,146.45211000006,-36.0625499994315
OMEO HIGHER ELEMENTARY SCHOOL,147.597639999514,-37.0970699990996
MONTEREY HIGH SCHOOL,145.148480000374,-38.127899999295
MONTEREY TECHNICAL SCHOOL,145.147370000421,-38.1251299988451
MONTMORENCY HIGH SCHOOL,145.113480000231,-37.7134599987588
SAINT KILDA ALTERNATIVE HIGH SCHOOL,144.981260000054,-37.8581799987202
CAULFIELD PARK COMMUNITY SCHOOL,145.034180000172,-37.8739699995194
CAULFIELD TECHNICAL SCHOOL,145.045419999935,-37.878179999289
OAKLEIGH HIGH SCHOOL,145.116530000175,-37.9028999990679
NORTHCOTE HIGH SCHOOL,144.989710000208,-37.7741399991969
Castlemaine High School,144.227500000541,-37.0505399990859
HAMPTON HIGH SCHOOL,145.006530000176,-37.9326299988003
SEYMOUR PRIMARY SCHOOL,145.138479999677,-37.0209599988982
SWINBURNE COLLEGE OF TECHNOLOGY,145.037920000221,-37.8223499991393
DONALD HIGH SCHOOL,142.973969999961,-36.370769998909
DOVETON TECHNICAL SCHOOL,145.229029999714,-37.9956799987975
LEONGATHA TECHNICAL SCHOOL,145.953480000379,-38.4792899994109
LONGERENONG AGRICULTURAL COLLEGE,142.302649999509,-36.6651299993789
MORWELL TECHNICAL SCHOOL,146.418479999752,-38.2237399987051
MONIVAE COLLEGE,142.049459999647,-37.7420199993227
COLAC TECHNICAL SCHOOL,143.592089999904,-38.3490099988977
SWAN HILL TECHNICAL SCHOOL,143.56264999961,-35.3548499995368
BOX HILL HIGH SCHOOL,145.137210000139,-37.8199899988047
STATE BANK STAFF COLLEGE,145.150420000229,-38.1801299987585
KERANG TECHNICAL HIGH SCHOOL,143.913809999902,-35.7256399994506
WARRANDYTE HIGH SCHOOL,145.184229999779,-37.7482599986772
BORONIA PRIMARY SCHOOL,145.291670000301,-37.858879999129
HORSHAM TECHNICAL SCHOOL,142.182370000115,-36.7123499990843
BLACKBURN HIGH SCHOOL,145.149899999753,-37.8103599993691
BILLANOOK COLLEGE,145.33987000041,-37.7873499992824
COLAC HIGH SCHOOL,143.566259999561,-38.3359599992654
DONVALE HIGH SCHOOL,145.17709000024,-37.8001299988494
DOOKIE AGRICULTURAL COLLEGE,145.702369999868,-36.3840099995017
GREYTHORN HIGH SCHOOL,145.096259999556,-37.8015099989342
BALLARAT COLLEGE,143.832919999703,-37.5612399993326
WINDSOR TECHNICAL SCHOOL,144.995980000014,-37.8567899994274
MELBOURNE COLLEGE OF HAIRDRESSING,144.952919999517,-37.8126299990052
MELBOURNE COLLEGE OF PRINTING,144.94764000041,-37.8026299987497
GLENORMISTON AGRICULTURAL COLLEGE,142.953199999834,-38.1623499986842
ALTONA NORTH TECHNICAL SCHOOL,144.845420000524,-37.8415099991619
PORTLAND HIGH SCHOOL,141.600980000265,-38.3473499991641
WATERDALE HIGH SCHOOL,145.050420000506,-37.7331799992295
KEW HIGH SCHOOL,145.063360000221,-37.7955299991015
