id,promoType,price,hasVideo,agentNames,brandName,addressStreet,addressSuburb,addressState,addressPostcode,addressLat,addressLng,num_bath,type,formatted,isRural,landSize,Retirement,min_distance_to_university,min_distance_to_shopping_mall,min_distance_to_secondary_school,min_distance_to_primary_school,min_distance_to_park
15230553,premiumplus,500,FALSE,Ismaeel Hussain,Samma Real Estate,322/23 Batman Street,WEST MELBOURNE,VIC,3003,-37.810738,144.95226,1,ApartmentUnitFlat,Apartment / Unit / Flat,FALSE,0,FALSE,1.86,2.61,0.43,0.71,0.46
15760997,premiumplus,540,TRUE,Conny Yang,Waterdale Property Agent Pty Ltd,2601/65 Dudley Street,WEST MELBOURNE,VIC,3003,-37.810135,144.9504,1,ApartmentUnitFlat,Apartment / Unit / Flat,FALSE,0,FALSE,1.89,2.59,0.51,0.71,0.22
15975970,standardpp,650,FALSE,Ismaeel Hussain,Samma Real Estate,1212/15-31 Batman Street,WEST MELBOURNE,VIC,3003,-37.810757,144.95224,2,ApartmentUnitFlat,Apartment / Unit / Flat,FALSE,0,FALSE,1.86,2.6,0.42,0.71,0.46
16668342,premiumplus,560,FALSE,Ismaeel Hussain,Samma Real Estate,307/33 Batman Street,WEST MELBOURNE,VIC,3003,-37.81086,144.95183,1,ApartmentUnitFlat,Apartment / Unit / Flat,FALSE,0,FALSE,1.89,2.57,0.46,0.75,0.42
16803052,standardpp,600,FALSE,Caroline Hardeman,Ray White Williamstown,2/18 Ireland Street,WEST MELBOURNE,VIC,3003,-37.807606,144.94562,1,ApartmentUnitFlat,Apartment / Unit / Flat,FALSE,0,FALSE,2.18,2.94,0.92,0.88,0.58
17081791,standardpp,500,FALSE,Stephanie Allen,Dingle Partners,18/44 Chetwynd Street,WEST MELBOURNE,VIC,3003,-37.807064,144.95253,1,ApartmentUnitFlat,Apartment / Unit / Flat,FALSE,0,FALSE,1.6,3.09,0.43,0.48,0.28
17156216,standardpp,990,FALSE,Prudence Walton-Pearce,Nelson Alexander Brunswick,179 Roden Street,WEST MELBOURNE,VIC,3003,-37.809,144.94658,2,House,House,FALSE,0,FALSE,2.37,2.75,0.98,0.98,0.45
17181706,premiumplus,1150,FALSE,Nina Mehegan,Home AU Real Estate,1 Walsh Street,WEST MELBOURNE,VIC,3003,-37.80802,144.95451,3,Townhouse,Townhouse,FALSE,0,FALSE,1.52,3.11,0.35,0.66,0.47
17185927,elitepp,630,FALSE,Brandon Antrim,Jellis Craig - Brunswick,5/51 Stawell Street,WEST MELBOURNE,VIC,3003,-37.80476,144.94238,2,ApartmentUnitFlat,Apartment / Unit / Flat,FALSE,0,FALSE,2.17,3.63,0.91,1.06,0.81
17192159,premiumplus,690,FALSE,"Jayde Cashion, Jo McKeown, Jellis Craig Inner North",Jellis Craig Fitzroy,199 Adderley Street,WEST MELBOURNE,VIC,3003,-37.808903,144.94556,1,House,House,FALSE,0,FALSE,2.3,2.82,1.04,1.07,0.52
17198726,elite,650,FALSE,Tristian Jack,W. B. Simpson & Son,459 Victoria Street,WEST MELBOURNE,VIC,3003,-37.804886,144.94469,1,Townhouse,Townhouse,FALSE,0,FALSE,1.97,3.47,0.71,0.86,0.61
17199701,elite,680,FALSE,"Alex Chan, Leane Shea",Fletchers Projects Rental,2803/420 Spencer Street,WEST MELBOURNE,VIC,3003,-37.81032,144.9504,2,ApartmentUnitFlat,Apartment / Unit / Flat,FALSE,0,FALSE,2.02,2.53,0.46,0.73,0.24
17200741,elite,950,FALSE,Mario Setiawan,Casa Real Estate,11/28 Ireland Street,WEST MELBOURNE,VIC,3003,-37.807446,144.94533,2,Townhouse,Townhouse,FALSE,0,FALSE,2.24,3,0.98,0.94,0.64
17200782,elite,650,FALSE,Mania Sidhu,MICM Real Estate,7/39-47 Peel Street,WEST MELBOURNE,VIC,3003,-37.80717,144.95543,1,ApartmentUnitFlat,Apartment / Unit / Flat,FALSE,0,FALSE,1.21,3.34,0.43,0.74,0.52
17201321,elite,600,FALSE,Abie Riady,MICM Real Estate,1408/408 Spencer Street,WEST MELBOURNE,VIC,3003,-37.810585,144.95053,1,ApartmentUnitFlat,Apartment / Unit / Flat,FALSE,0,FALSE,2.01,2.53,0.45,0.86,0.38
17201355,premiumplus,670,FALSE,Conny Yang,Waterdale Property Agent Pty Ltd,U303/65 Dudley Street,WEST MELBOURNE,VIC,3003,-37.810135,144.9504,2,ApartmentUnitFlat,Apartment / Unit / Flat,FALSE,0,FALSE,1.89,2.59,0.51,0.71,0.22
17201583,elitepp,750,FALSE,"Zac Keltie, Gary Lewis",Belle Property South Melbourne,1903/65 Dudley Street,WEST MELBOURNE,VIC,3003,-37.810135,144.9504,2,ApartmentUnitFlat,Apartment / Unit / Flat,FALSE,0,FALSE,1.89,2.59,0.51,0.71,0.22
17203311,elite,720,FALSE,"Leasing Team, Romina Alessi",Melcorp Real Estate,312/288 Adderley Street,WEST MELBOURNE,VIC,3003,-37.8072,144.94318,2,ApartmentUnitFlat,Apartment / Unit / Flat,FALSE,0,FALSE,2.46,3.07,1.2,1.16,0.77
9522409,elite,520,FALSE,Cooper Modica,LITTLE Real Estate Victoria,204/33-43 Batman Street,WEST MELBOURNE,VIC,3003,-37.81086,144.95183,1,ApartmentUnitFlat,Apartment / Unit / Flat,FALSE,0,FALSE,1.89,2.57,0.46,0.75,0.42
17064004,elite,540,TRUE,Abie Riady,MICM Real Estate,210/55 Jeffcott Street,WEST MELBOURNE,VIC,3003,-37.81205,144.95174,1,ApartmentUnitFlat,Apartment / Unit / Flat,FALSE,0,FALSE,2.05,2.39,0.32,0.90,0.49
17088188,elite,600,FALSE,Property Now,Property Now,112 Adderley Street,WEST MELBOURNE,VIC,3003,-37.810665,144.94797,1,ApartmentUnitFlat,Apartment / Unit / Flat,FALSE,0,FALSE,2.01,2.76,0.69,0.84,0.35
17097886,elite,520,FALSE,Azhar Bhatti,Barry Plant Essendon,311/23 Batman St,WEST MELBOURNE,VIC,3003,-37.810738,144.95226,1,ApartmentUnitFlat,Apartment / Unit / Flat,FALSE,0,FALSE,1.86,2.61,0.43,0.71,0.46
17104104,elite,690,TRUE,Mania Sidhu,MICM Real Estate,1907/408 Spencer Street,WEST MELBOURNE,VIC,3003,-37.8106,144.95053,1,ApartmentUnitFlat,Apartment / Unit / Flat,FALSE,0,FALSE,2.01,2.53,0.45,0.86,0.38
